agent_ms_1,agent_ms_2,agent_ms_3,agent_ms_4,agent_ms_5,agent_ms_6,agent_ms_7,agent_ms_8
33.476,29.468,29.677,25.496,30.163,34.674,31.149,29.671
27.324,31.042,31.321,29.476,31.26,25.6,29.324,34.793
29.149,31,29.313,30.067,30.905,27.685,32.07,17.611
29.74,26.828,29.647,32.268,33.564,29.427,29.046,31.567
30.928,32.337,28.818,27.387,23.61,40.842,28.613,30.801
34.266,30.519,31.235,29.804,29.798,18.219,37.567,30.902
27.28,32.54,29.178,33.52,34.836,36.081,25.1,31.88
31.107,26.058,34.393,26.73,33.405,26.506,29.022,31.937
27.068,33.84,26.482,28.03,25.651,32.36,34.689,26.343
28.725,27.427,35.944,32.978,27.646,33.018,29.528,27.214
30.58,28.608,24.916,29.592,31.115,24.236,34.426,30.002
34.608,29.89,29.486,29.883,32.028,28.647,18.991,32.373
27.483,30.133,27.879,31.795,27.455,29.935,30.062,29.028
30.686,30.049,31.499,27.336,32.117,33.105,29.057,32.176
27.728,30.79,28.291,30.202,31.119,30.158,34.985,28.094
30.317,28.009,31.573,28.328,32.522,26.351,25.561,32.433
29.473,30.339,28.231,30.281,25.856,32.736,31.844,42.4
30.496,30.154,32.173,31.293,32.644,27.742,29.682,19.448
30.7,31.135,29.096,31.051,26.825,43.892,29.74,30.179
31.044,27.114,31.186,31.342,29.189,15.662,28.826,24.684
31.084,30.786,28.197,26.746,28.91,32.716,35.487,29.707
29.358,32.337,30.409,36.355,34.262,35.231,32.198,33.727
30.777,28.789,30.331,23.917,26.88,25.965,24.803,34.731
27.256,28.972,30.574,28.926,35.142,35.603,31.348,25.623
29.55,33.724,31.159,30.604,23.177,23.468,31.412,29.601
30.148,27.732,29.125,30.605,30.761,33.981,26.015,26.361
31.992,28.951,28.7,27.77,33.129,24.407,33.242,33.274
29.688,32.759,33.325,29.42,25.9,32.958,31.188,26.037
29.882,27.436,28.017,31.313,31.354,31.031,27.933,44.715
29.921,35.744,28.622,36.059,37.412,27.954,28.002,24.695
29.399,25.671,30.201,30.002,20.244,29.012,30.756,22.129
29.734,30.252,33.566,25.032,30.406,27.848,29.54,30.285
33.435,28.38,29.966,28.322,33.166,33.858,29.092,32.945
26.801,29.91,27.841,32.004,32.285,29.087,30.212,28.921
31.32,35.013,30.161,29.265,27.35,36.09,29.366,28.342
27.84,28.727,28.259,29.523,33.956,22.557,31.955,27.312
31.616,25.736,31.884,30.828,30.374,33.187,35.54,33.514
28.544,34.658,29.239,30.885,31.145,38.619,26.076,29.398
29.473,29.318,30.916,29.173,26.426,16.107,33.759,30.411
28.35,28.016,28.86,30.443,28.631,41.175,23.165,29.694
30.988,30.667,31.583,29.993,27.872,21.398,29.243,40.419
30.81,27.714,29.424,29.972,32.017,32.393,30.978,24.83
32.09,28.958,29.882,27.874,33.562,25.852,30.683,30.474
29.81,32.95,27.335,29.622,24.688,36.031,30.245,24.027
27.214,31.768,31.626,31.253,27.17,25.356,31.778,33.012
31.51,31.552,33.084,30.809,40.435,33.084,26.872,23.932
29.706,29.822,26.814,35.096,28.627,26.802,28.694,33.073
31.711,26.355,30.553,24.008,24.969,33.78,34.614,28.977
27.317,28.444,30.88,32.19,30.316,25.401,28.579,30.027
35.977,29.692,28.685,33.913,29.182,33.253,31.442,34.902
24.819,36.846,29.48,27.938,27.106,27.883,29.255,26.702
29.193,25.03,30.022,31.655,32.006,29.919,28.828,27.893
30.809,28.609,31.111,29.349,33.572,30.035,31.07,30.826
29.035,30.279,28.997,27.586,26.029,29.399,25.933,28.338
32.209,28.228,33.166,30.807,30.588,31.567,31.437,33.13
29.357,31.404,28.602,26.934,31.065,32.54,31.232,30.999
29.218,29.912,27.826,31.676,29.222,28.116,30.249,32.11
33.703,30.041,30.078,29.371,31.338,29.634,26.663,43.08
27.829,31.694,29.279,27.595,28.678,28.474,31.249,28.506
30.099,28.744,35.883,31.055,30.712,29.949,30.344,13.901
27.742,28.342,26.667,32.255,29.762,29.916,34.594,35.452
28.763,31.455,29.095,26.385,32.485,31.008,30.941,28.672
31.471,32.262,30.189,33.856,28.176,28.313,25.454,24.109
30.342,28.263,31.018,28.417,32.382,34.11,32.214,43.313
29.844,28.401,29.29,32.518,26.043,32.787,29.879,24.117
29.661,29.952,29.387,27.946,29.432,31.693,28.189,23.756
31.72,32.603,28.234,30.399,35.196,32.583,29.879,36.768
29.612,30.371,32.417,34.301,34.029,17.301,29.004,29.146
28.826,27.786,32.276,28.254,20.862,30.267,32.007,24.267
29.216,28.585,27.629,24.558,27.987,30.65,29.717,32.501
29.832,30.934,27.878,36.293,31.818,33.693,34.009,30.593
35.294,29.369,31.279,25.211,39.268,26.832,26.674,31.553
25.075,33.62,33.35,30.085,21.811,31.611,28.222,24.857
30.858,29.634,31.213,29.862,31.763,27.708,31.242,44.101
28.486,28.111,25.678,28.837,27.163,33.328,29.084,18.476
32.835,28.678,30.952,31.622,30.382,35.665,28.286,27.56
