agent_ms_1,agent_ms_2,agent_ms_3,agent_ms_4,agent_ms_5,agent_ms_6,agent_ms_7,agent_ms_8
0.685,1.213,1.058,4.266,7.37,2.627,2.295,6.341
0.7,1.453,2.505,2.425,2.135,3.095,4.039,3.106
0.72,0.936,0.994,2.339,1.906,4.685,6.376,2.67
0.543,0.952,1.024,2.34,4.636,2.637,3.49,6.916
0.776,0.952,1.012,2.338,2.268,4.28,2.396,4.809
0.763,1.129,1.882,2.304,3.249,2.701,2.3,2.333
0.69,1.473,1.553,2.364,1.994,2.509,3.966,2.268
0.7,1.456,1.238,2.287,3.556,1.658,3.813,8.561
0.517,1.82,1.2,4.576,1.577,1.599,5.601,2.6
0.463,1.471,1.218,2.305,1.912,3.621,3.505,4.558
0.509,0.778,1.215,2.359,2.081,3.619,3.041,4.94
0.75,1.048,1.196,2.315,3.763,3.895,5.16,2.238
0.843,1.038,1.228,2.353,2.892,2.259,1.766,2.267
3.842,1.028,1.184,2.729,1.973,2.226,1.877,2.258
1.154,1.012,3.823,2.365,3.371,2.261,1.889,3.931
0.689,1.013,1.194,2.351,2.407,1.969,1.898,2.028
1.134,0.794,1.744,2.732,2.251,2.286,1.872,2.016
0.796,1.009,2.033,2.353,2.448,3.885,1.902,2.121
0.674,1.458,1.037,2.323,2.34,1.963,5.855,1.976
0.679,1.422,1.079,2.341,2.062,4.925,5.722,2.265
0.503,1.519,1.07,2.345,2.599,3.136,4.167,4.979
0.759,1.075,1.1,2.975,3.54,3.424,4.221,2.566
0.703,1.655,1.677,2.374,4.019,4.908,2.809,2.607
0.677,1.6,1.898,2.354,1.369,2.909,2.353,2.568
0.67,0.876,4.829,2.41,1.162,5.565,2.426,2.545
0.611,1.473,1.158,2.301,3.886,4.763,2.403,1.633
0.775,6.762,1.155,2.304,6.395,3.054,2.4,5.75
0.698,0.745,1.105,2.56,1.98,2.947,3.014,3.262
0.688,1.03,1.204,2.34,3.463,2.184,2.435,3.26
0.663,1.456,1.229,2.358,7.356,3.312,2.391,3.298
0.508,1.443,1.221,4.318,2.112,4.857,2.425,9.758
0.726,0.801,1.115,2.363,1.859,3.495,5.799,2.977
0.806,1.131,1.167,2.377,1.978,2.021,3.241,5.749
0.757,1.495,1.191,2.389,2.244,1.797,5.147,11.157
0.534,1.438,1.63,2.31,1.663,2.05,3.009,4.826
0.368,1.397,1.259,4.619,2.039,4.825,3.157,2.764
0.691,1.458,1.187,2.375,2.126,4.729,3.071,3.145
0.775,1.441,3.374,2.975,3.106,2.696,3.163,2.833
1.178,0.628,1.483,4.523,1.915,2.802,3.226,4.908
0.795,1.494,1.438,1.522,1.678,2.515,3.238,4.829
0.794,0.943,1.486,4.288,1.876,5.049,3.165,2.846
0.697,0.985,1.41,2.93,1.445,2.156,3.383,2.722
0.651,0.966,3.344,2.959,1.972,2.523,3.633,4.951
0.782,0.724,1.469,3.056,1.672,4.306,2.014,2.63
0.658,0.925,1.473,2.974,2.93,3.268,1.926,2.779
0.611,1.017,1.387,3.032,3.171,3.263,2.119,2.786
0.7,0.972,1.47,2.075,1.874,3.039,4.88,2.937
0.834,0.941,1.377,2.021,4.735,3.389,2.701,2.804
