ticks-1-60sec,event-beat-b-or-agent-n
167101318,a7
167101320,a6
167101322,a8
167101326,a6
167101327,a1
167101329,a2
167101329,a3
167101332,a5
167101337,a8
167101340,init
167101340,b
167101340,a2
167101340,a3
167101340,a4
167101340,a5
167101340,a6
167101341,a7
167101341,a8
167101348,a6
167101349,a4
167101351,a3
167101354,a5
167101360,a8
167101363,a2
167101363,a3
167101363,a4
167101363,a5
167101363,a6
167101363,a7
167101363,a8
167101367,a3
167101368,a6
167101369,a3
167101374,a4
167101374,a2
167101376,a5
167101377,a7
167101381,a2
167101383,a8
167101384,a2
167101385,a8
167101385,b
167101385,a2
167101385,a3
167101385,a4
167101385,a5
167101385,a6
167101385,a7
167101385,a8
167101386,a7
167101389,a6
167101396,a5
167101408,a1
167101408,a2
167101408,a3
167101408,a4
167101408,a5
167101408,a7
167101408,a8
167101411,a4
167101420,a5
167101421,a1
167101421,a2
167101425,a8
167101425,a3
167101426,a3
167101428,a7
167101429,a4
167101430,b
167101430,a2
167101430,a3
167101430,a4
167101430,a5
167101430,a7
167101430,a8
167101436,a2
167101440,a4
167101443,a5
167101450,a8
167101453,a8
167101453,a2
167101453,a3
167101453,a4
167101453,a5
167101453,a7
167101453,a8
167101453,a7
167101465,a4
167101467,a5
167101471,a7
167101472,a3
167101473,a3
167101475,b
167101475,a2
167101475,a3
167101476,a4
167101476,a5
167101476,a6
167101476,a7
167101476,a8
167101480,a5
167101481,a6
167101482,a7
167101487,a2
167101495,a7
167101498,a8
167101498,a2
167101498,a3
167101498,a4
167101498,a5
167101498,a6
167101498,a7
167101498,a8
167101499,a2
167101500,a7
167101500,a3
167101501,a2
167101503,a5
167101508,a6
167101517,a3
167101519,a8
167101520,init
167101520,b
167101521,a1
167101521,a2
167101521,a3
167101521,a4
167101521,a5
167101521,a6
167101521,a7
167101521,a8
167101521,a4
167101522,a4
167101528,a7
167101529,a6
167101530,a4
167101533,a7
167101542,a5
167101543,a2
167101543,a3
167101543,a4
167101543,a5
167101543,a6
167101543,a7
167101543,a8
167101550,a1
167101557,a8
167101560,a3
167101561,a3
167101561,a2
167101563,a6
167101565,a8
167101565,a8
167101566,b
167101566,a2
167101566,a3
167101566,a4
167101566,a5
167101566,a6
167101566,a7
167101566,a8
167101571,a2
167101573,a4
167101574,a4
167101578,a2
167101583,a7
167101584,a7
167101587,a5
167101588,a2
167101588,a3
167101588,a4
167101588,a5
167101588,a6
167101588,a7
167101588,a8
167101591,a5
167101592,a3
167101598,a3
167101599,a6
167101603,a6
167101604,a2
167101610,b
167101610,a1
167101610,a2
167101610,a3
167101610,a4
167101610,a5
167101611,a6
167101611,a7
167101611,a8
167101614,a2
167101616,a5
167101618,a3
167101619,a6
167101624,a8
167101630,a1
167101631,a5
167101633,a2
167101633,a3
167101633,a3
167101633,a5
167101633,a6
167101633,a7
167101633,a8
167101634,a2
167101634,a4
167101635,a7
167101639,a6
167101641,a4
167101645,a2
167101645,a1
167101646,a5
167101647,a8
167101647,a8
167101655,a7
167101656,b
167101656,a1
167101656,a2
167101656,a3
167101656,a4
167101656,a5
167101656,a6
167101656,a8
167101657,a3
167101657,a3
167101663,a5
167101667,a6
167101671,a4
167101673,a7
167101674,a2
167101677,a3
167101678,a1
167101678,a2
167101679,a3
167101679,a4
167101679,a4
167101679,a5
167101679,a6
